LeadCreated,VendorLeadID,CallStatus,WidgetName,PublisherZoneName,PublisherCampaignName,AddressScore,PhoneScore,AdvertiserCampaignName,State,DebtLevel,Partner,ReferralDomain,MarketingCampaign,AdGroup,Keyword,SearchQuery,QualityGroup,GoodLeadFlag,ClosedLeadFlag,Month,Quarter,Year
01-07-2009,FDF81FDA-A649-437B-B99C-FDDE74F7971B,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,5,creditsolutions-branded-shortform,HI,30001-50000,google,www.google.com,Debt Holding Tank,Holding Tank - Debt,Debt specialists,debt specialists,Unknown,0,0,2009-07,2009Q3,2009
13-04-2009,4190ACB7-5026-416C-B987-ED8AD427D5E6,Unknown,w-300250-DebtReduction1-1DC-Head2,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,AL,90000-100000,AdKnowledge,Unknown,Financial Services,Consolidate,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
21-04-2009,hFg80jf_R0CRN55hdhWILw,Unable to contact - Bad Contact Information,w-300250-DebtReduction1-1DC-Head2,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,NY,20001-30000,AdKnowledge,us.mc582.mail.yahoo.com,Financial Services,Consolidate,Unknown,Unknown,Bad,0,0,2009-04,2009Q2,2009
03-08-2009,jB01QgYZxkWArI9jWxuufw,Contacted - Doesn't Qualify,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,WA,20001-30000,Google,norwich.kijiji.com,DebtReductionInc,Lower Payments,Unknown,Unknown,Bad,0,0,2009-08,2009Q3,2009
13-04-2009,D5B32074-458E-40EC-B185-1FEF20AC626D,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,TX,More_than_100000,Google,Unknown,DebtReductionInc,Debt Reduction,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
29-07-2009,94AB0C2C-0DEA-4B5D-96FA-94AE6C470CA0,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,3,Debt Settlement1 Master,CO,10001-15000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
06-07-2009,26583F6E-49B5-47B8-96E1-A321CAF09B7A,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,4,Debt Settlement1 Master,MI,70001-90000,Google,googleads.g.doubleclick.net,DebtReductionInc,Student Debt,Unknown,Unknown,Unknown,0,0,2009-07,2009Q3,2009
22-04-2009,hxFrkNSCjU6rE2u-7yH-KQ,Unable to contact - Bad Contact Information,w-300250-DebtReduction1-2DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,IA,7500-15000,google,www.google.com,Credit,Debt Credit Services,Credit services,credit services,Bad,0,0,2009-04,2009Q2,2009
05-05-2009,8F018729-3974-4100-A5D3-8175AB64D991,Unknown,w-300250-DebtReduction1-1DC-Head3,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,LA,20001-30000,yahoo,dir.yahoo.com,DebtReductionInc,Debt Consolidation,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
07-08-2009,A636ADF0-72A6-4E11-A946-FDEF69E64E53,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,3,4,creditsolutions-branded-shortform,MI,10001-15000,google,www.docstoc.com,Debt Volume_MI,Settlement,Debt settlement,Unknown,Unknown,0,0,2009-08,2009Q3,2009
01-06-2009,LfatQ19SFkWfP3-hH7TVTQ,Unable to contact - Bad Contact Information,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,,,creditsolutions-branded-shortform,TX,20001-30000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Bad,0,0,2009-06,2009Q2,2009
26-07-2009,B5B4DBDA-DE88-48E2-BC79-3272813F843B,Unknown,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,5,5,creditsolutions-branded-shortform,IL,30001-50000,google,www.google.com,Debt Volume,Debt,Debt,refinance loan debt consolidation lower interest,Unknown,0,0,2009-07,2009Q3,2009
24-05-2009,0F70ECCD-3D27-4EFE-836F-DE29BE79E569,Unknown,w-302252-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MI,15001-20000,yahoo,search.yahoo.com,state,Debt Settlement Companies,Unknown,DEBT SETTLEMENT COMPANIES IN MICHIGAN,Unknown,0,0,2009-05,2009Q2,2009
24-05-2009,1B93D455-40D7-47E9-B143-557168CC0A71,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,LA,10001-15000,yahoo,search.yahoo.com,DebtReductionInc,Get Out Of Debt,Unknown,help to get out of debt,Unknown,0,0,2009-05,2009Q2,2009
06-05-2009,B6CF6B87-BF97-41CF-A926-30BD36BDA26B,Unknown,w-300250-DebtReduction1-1DC-Head3,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,NY,30001-50000,yahoo,search.yahoo.com,DebtReductionInc,General Debt,Unknown,federal debt relief system,Unknown,0,0,2009-05,2009Q2,2009
28-05-2009,C13ABB97-43CF-459F-BDFC-AC22DB27EE4B,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,NV,50001-70000,yahoo,search.yahoo.com,DebtReductionInc,Lower Payments,Unknown,lower bills,Unknown,0,0,2009-05,2009Q2,2009
19-04-2009,8B878AC1-2E6C-4079-8390-3C041F4DB7BA,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,IL,7500-15000,yahoo,search.yahoo.com,DebtReductionInc,General Debt,Unknown,clear my debts,Unknown,0,0,2009-04,2009Q2,2009
01-08-2009,7YvjZQLOi0aAT7DhiqDISg,Unable to contact - Bad Contact Information,w-302252-DebtReduction1-1DC-CreditSolutions,TopLeft-302252,DebtReductionInc,3,3,creditsolutions-branded-shortform,IL,7500-10000,Google,googleads.g.doubleclick.net,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Bad,0,0,2009-08,2009Q3,2009
23-09-2009,6C8E5A21-B139-4BFE-85C9-99DA002898F0,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,5,5,Debt Settlement1 Master,MT,30001-50000,Google,ezinearticles.com,DebtReductionInc,Credit Card Debt - high volume,Unknown,Unknown,Unknown,0,0,2009-09,2009Q3,2009
19-05-2009,D27C476D-76E6-40AA-B1F8-01C6ACB4BFED,Unknown,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MT,More_than_100000,yahoo,www.findstuff.com,state,Consolidation Debt Loan,Unknown,Unknown,Unknown,0,0,2009-05,2009Q2,2009
10-04-2009,254206B2-68CD-4E3B-A62B-E47F0F059F3C,Unknown,w-300250-DebtReduction1-2DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MO,7500-15000,AdKnowledge,us.mc631.mail.yahoo.com,Financial Services,Consolidate,Unknown,Unknown,Unknown,0,0,2009-04,2009Q2,2009
19-04-2009,FA10C2B3-AB50-496C-AFD2-A25982D62034,Unknown,w-300250-DebtReduction1-1DC,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,MD,More_than_100000,yahoo,search.yahoo.com,state,Bankruptcy And Chapter 7,Unknown,maryland bankruptcy laws,Unknown,0,0,2009-04,2009Q2,2009
14-05-2009,HOqz2SU04UKjPN3Dlu90qg,Unable to contact - Bad Contact Information,w-302252-DebtReduction1-1DC-white,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,TX,More_than_100000,yahoo,search.yahoo.com,DebtReductionInc,Debt Consolidation,Unknown,secured debt consolidation loans,Bad,0,0,2009-05,2009Q2,2009
27-04-2009,AEA3FF08-5C47-4892-A660-C332EC173019,Unknown,w-300250-DebtReduction1-1DC-BlueMeter,TopLeft-302252,DebtReductionInc,,,Debt Settlement1 Master,CA,7500-15000,google,www.google.com,Debt General,Student Debt,Defaulted student loans,how to solve federal default student loans,Unknown,0,0,2009-04,2009Q2,2009
